Date,Open,High,Low,Close
2008-05-30,3834.9855,3876.8890,3595.5714,3686.0752
2008-06-06,3676.1166,3794.1563,3525.7231,3562.7166
2008-06-13,3433.8710,3498.3562,3032.1970,3056.4462
2008-06-20,3042.9978,3097.8069,2706.4254,2913.5295
2008-06-27,2858.0320,3171.9781,2799.0740,2960.3671
2008-07-04,2930.0989,3047.8238,2769.6762,2905.9748
2008-07-11,2910.1678,3263.4240,2887.9130,3153.7859
2008-07-18,3132.1352,3242.0148,2783.0956,2957.6016
2008-07-25,2939.5275,3120.4627,2883.5890,2988.7046
2008-08-01,3003.5259,3063.1587,2753.4408,2853.4500
2008-08-08,2837.5051,2863.3406,2464.1581,2482.9496
2008-08-15,2456.9663,2483.4498,2204.2774,2295.1912
2008-08-22,2294.9212,2344.7846,2061.1564,2199.7724
2008-08-29,2194.9354,2221.8954,1990.3145,2109.5102
2008-09-05,2092.2280,2109.0627,1870.2010,1892.1723
2008-09-12,1894.5799,1914.3893,1728.3981,1755.1561
2008-09-19,1751.3711,1826.5744,1610.7085,1826.5744
2008-09-26,1945.3111,1986.2392,1753.5678,1951.2312
2008-10-10,1909.6601,1932.5846,1620.8165,1660.7500
2008-10-17,1631.2748,1739.7892,1489.6792,1527.2582
2008-10-24,1517.1160,1628.6292,1492.3853,1546.8432
2008-10-31,1520.7577,1539.0217,1388.5616,1458.4484
2008-11-07,1447.1976,1494.1537,1383.5943,1432.7061
2008-11-14,1455.7995,1680.6617,1449.0164,1669.4006
2008-11-21,1671.8963,1785.5807,1606.1625,1697.1072
2008-11-28,1698.1778,1745.4097,1593.0322,1632.5791
2008-12-05,1627.7221,1862.1039,1607.3453,1828.4503
2008-12-12,1851.7660,1928.5008,1753.9908,1796.1260
2008-12-19,1827.2868,1935.5302,1752.6006,1899.5778
2008-12-26,1897.7178,1929.8822,1708.4582,1737.3916
2008-12-31,1719.2534,1743.5704,1664.5435,1688.4187
2009-01-09,1707.0060,1795.9490,1674.7531,1752.8721
2009-01-16,1747.5815,1847.6324,1685.3468,1799.3227
2009-01-23,1813.3249,1874.8435,1764.7138,1839.5528
2009-02-06,1859.7857,2021.7715,1817.8772,2006.2771
2009-02-13,2031.9429,2206.5994,2003.0595,2182.1573
2009-02-20,2200.6207,2268.0458,2048.0574,2160.1558
2009-02-27,2155.3405,2254.0370,1852.1564,1906.2650
2009-03-06,1887.4937,2115.0973,1856.2214,2022.9490
2009-03-13,2037.1370,2070.6405,1913.8879,1962.7742
2009-03-20,1954.5450,2213.7562,1925.2831,2174.4173
2009-03-27,2175.1967,2335.4166,2148.7953,2293.1324
2009-04-03,2307.9264,2445.4541,2235.9643,2360.2786
2009-04-10,2361.6509,2433.7088,2253.8174,2413.0540
2009-04-17,2433.5693,2535.4565,2406.0863,2465.0573
2009-04-24,2458.8615,2515.8383,2316.8494,2353.3366
2009-04-30,2347.2300,2465.9783,2265.2767,2422.2417
2009-05-08,2433.6511,2593.5469,2408.4241,2497.0771
