Date,CSI300,CSI300_SP_FV_SPMO
2006-08-09,1293.333333,1221.985857
2006-08-10,1314.180879,1243.961086
2006-08-11,1318.501292,1245.840431
2006-08-14,1287.565891,1218.485226
2006-08-15,1308.382429,1238.669575
2006-08-16,1326.687339,1258.477735
2006-08-17,1314.346253,1246.111904
2006-08-18,1310.459948,1245.319145
2006-08-21,1313.240310,1252.165122
2006-08-22,1328.444444,1270.776522
2006-08-23,1328.868217,1272.217955
2006-08-24,1335.813953,1278.365074
2006-08-25,1338.956072,1279.801078
2006-08-28,1370.428941,1313.485310
2006-08-29,1374.842377,1322.482680
2006-08-30,1379.503876,1326.198706
2006-08-31,1383.658915,1331.750843
2006-09-01,1362.377261,1314.299327
2006-09-04,1382.160207,1336.515467
2006-09-05,1385.715762,1338.396410
2006-09-06,1391.596899,1344.868489
2006-09-07,1373.002584,1331.120719
2006-09-08,1376.899225,1338.006018
2006-09-11,1383.731266,1343.828236
2006-09-12,1392.909561,1349.038911
2006-09-13,1383.348837,1338.535581
2006-09-14,1383.235142,1340.039506
2006-09-15,1408.082687,1354.948299
2006-09-18,1421.767442,1375.432043
2006-09-19,1424.609819,1382.468544
2006-09-20,1424.764858,1385.784047
2006-09-21,1433.974160,1400.050553
2006-09-22,1421.033592,1399.744789
2006-09-25,1418.501292,1396.045813
2006-09-26,1403.255814,1370.374680
2006-09-27,1417.178295,1377.640602
2006-09-28,1433.591731,1409.751417
2006-09-29,1450.408269,1427.224906
2006-10-09,1484.310078,1461.884665
2006-10-10,1485.529716,1460.798206
2006-10-11,1484.144703,1456.727776
2006-10-12,1474.418605,1426.240020
2006-10-13,1478.945736,1422.846560
2006-10-16,1466.170543,1399.171460
2006-10-17,1461.963824,1408.607722
2006-10-18,1485.881137,1426.984690
2006-10-19,1487.731266,1433.839666
2006-10-20,1488.558140,1434.622708
2006-10-23,1456.041344,1400.827151
2006-10-24,1488.423773,1430.120652
2006-10-25,1495.431525,1454.124299
2006-10-26,1505.012920,1451.180906
2006-10-27,1487.390181,1422.451271
2006-10-30,1494.821705,1419.790261
2006-10-31,1513.664083,1426.819208
2006-11-01,1529.105943,1446.038143
2006-11-02,1529.364341,1443.403108
2006-11-03,1538.284238,1449.348684
2006-11-06,1558.542636,1448.025135
