Date,Open,High,Low,Close,Net_Close,n_holdings
2023-10-18,4859.247213436608,4910.525250612978,4793.7620161235445,4850.557903779392,4424.018391626936,55
2023-10-19,4822.059112117076,4861.903951868783,4725.539802019081,4748.718994165714,4331.134806263879,55
2023-10-20,4733.1113416511525,4772.331424776448,4654.375318908973,4683.130758278255,4271.31414901239,55
2023-10-23,4636.508681689545,4690.288236670359,4563.3726431428395,4615.778569505681,4209.884654146649,55
2023-10-24,4601.001181394874,4672.715908187035,4527.065967177001,4597.381842844207,4193.105665273498,55
2023-10-25,4640.297354727122,4668.117964449404,4529.270568086263,4555.406458561629,4154.821435758982,55
2023-10-26,4532.74407518146,4626.883584882965,4502.980087127659,4598.452758536384,4194.082408735188,55
2023-10-27,4570.967280324744,4651.872896363684,4518.448726393198,4597.63545256528,4193.336973525574,55
2023-10-30,4582.438017531527,4641.603061715785,4478.744590774939,4553.760419040968,4153.3201426588475,55
2023-10-31,4558.041790237947,4616.004772995716,4508.165614057967,4575.673734024432,4173.306484525382,55
2023-11-01,4585.838093153738,4623.76025329503,4525.526542742093,4569.006878894967,4167.225887140061,55
2023-11-02,4586.249930590347,4638.302708987916,4545.188302815682,4572.614163335981,4170.515960782609,55
2023-11-03,4578.944608125793,4629.108096366598,4540.057745070023,4582.920015423822,4179.91555565034,55
2023-11-06,4607.333516817941,4652.085536946821,4530.945508636858,4590.195971105086,4186.551691614307,55
2023-11-07,4576.008113375803,4635.556668317212,4527.082966227923,4595.130533766331,4191.052327706286,55
2023-11-08,4576.364468128176,4623.013951344359,4537.595539966248,4572.385374688454,4170.307290933793,55
2023-11-09,4564.830112233462,4634.926120186662,4536.445992326829,4593.06282299054,4189.166443508606,55
2023-11-10,4575.924977172922,4619.276433699139,4521.474712338103,4559.881422442624,4158.9028884298095,55
2023-11-13,4570.513068373253,4627.638008666534,4522.432794657406,4591.866427720788,4188.075254663522,55
2023-11-14,4596.6298131518015,4655.9039459109035,4557.331167350602,4595.300275033075,4191.207142575171,55
2023-11-15,4629.056006943547,4668.921193189081,4580.9036278181,4624.233355012383,4217.595958149383,55
2023-11-16,4610.742450514943,4647.907160294975,4569.280478029925,4591.413108030853,4187.661798173498,55
2023-11-17,4575.618947246438,4611.276665150894,4537.5309439568655,4582.654617004625,4179.673495353168,55
2023-11-20,4583.618263035373,4629.383410978453,4545.298763828956,4592.038157665087,4188.231883333263,55
2023-11-21,4606.889904809517,4653.887742566654,4575.191932673385,4597.066970502572,4192.818481601423,55
2023-11-22,4585.700502344667,4621.796159825267,4551.714131177227,4564.677920174966,4163.277600494734,55
2023-11-23,4564.723083160968,4594.796394456153,4527.839146740702,4575.761572034025,4173.386598396328,55
2023-11-24,4576.140188884139,4602.934566034278,4525.366573457845,4546.6765529901595,4146.859204697837,55
2023-11-27,4538.445185216323,4559.426674390408,4465.9865589085375,4507.166308733754,4110.823340222987,55
2023-11-28,4502.123952367396,4535.8060788037355,4470.263247058098,4507.540262493397,4111.164409919112,55
2023-11-29,4509.195501632988,4528.339330116622,4446.588921463765,4470.618356761891,4077.48927537782,55
2023-11-30,4475.109202283544,4531.499703119624,4449.507409540082,4505.998657823671,4109.75836806851,55
2023-12-01,4499.615886334711,4560.051311306177,4459.298756885753,4528.582848346095,4130.356591244726,55
2023-12-04,4532.653709216319,4580.877194158459,4488.498903978263,4513.87318180207,4116.940436522656,55
2023-12-05,4503.668118453715,4521.168267683496,4423.165054781514,4429.890033344678,4040.342444965284,55
2023-12-06,4423.050962748077,4459.613196025564,4358.453811004216,4398.458217015848,4011.6746223602518,55
2023-12-07,4391.292455693755,4442.9748610354345,4351.256023414388,4412.701105258336,4024.66504547953,55
2023-12-08,4413.40287703258,4504.961090150225,4377.679520508768,4459.11936197868,4067.0014582204353,55
2023-12-11,4444.834571040997,4495.733848384515,4347.762274550902,4469.8685466562265,4076.805400705362,55
2023-12-12,4458.099810569328,4522.288829420188,4418.822366818059,4494.905626412678,4099.640815416909,55
2023-12-13,4483.224178913501,4509.918864774715,4430.674515064019,4444.347701251192,4053.5287608463127,55
2023-12-14,4466.834978887141,4498.756174005876,4416.677680176784,4430.034949065495,4040.474617351812,55
2023-12-15,4442.687349529328,4476.588961098588,4382.99299232594,4395.0213253070315,4008.539957764663,55
2023-12-18,4384.981984471463,4453.762211895126,4353.860292416626,4411.095860666609,4023.200959958291,55
2023-12-19,4408.538036130436,4439.508284024152,4366.645457087717,4416.94542508926,4028.536136056004,55
2023-12-20,4418.45891403229,4452.887375196105,4360.737068896813,4371.823470165338,3987.3820332889686,55
2023-12-21,4359.378314796161,4411.517760053844,4331.560694646694,4380.9394382738565,3995.6963780240653,55
2023-12-22,4381.063904613115,4432.446497639457,4349.816667837128,4392.668963161486,4006.394453350099,55
2023-12-25,4382.745821699668,4435.376616203941,4361.243963786029,4405.047374764161,4017.6843547749827,55
2023-12-26,4402.966867669095,4434.845493007171,4356.869707714486,4393.367205318843,4007.0312947624134,55
2023-12-27,4399.218820544891,4457.137123346295,4361.321846879443,4427.68291104179,4038.3294085570533,55
2023-12-28,4431.086375306675,4533.165804182267,4383.55120287349,4472.731236702204,4079.4163567364344,55
2023-12-29,4463.893178651263,4528.6005530158345,4439.182543731255,4495.893572646245,4100.541885436883,55
2024-01-02,4494.1859402457485,4536.027060472275,4431.7995502106805,4463.986689557467,4071.4407716259825,55
2024-01-03,4455.579904491904,4521.853800723292,4417.5681986869395,4478.642556143579,4084.8078573526923,55
