Date,MA20,MA50,MA100,MA200
2006-08-31,1259.7531,1303.0231,1290.2659,1141.1404
2006-09-01,1265.1246,1303.0142,1292.1572,1143.1087
2006-09-04,1272.0473,1303.0079,1294.2455,1145.1806
2006-09-05,1277.7653,1302.9852,1296.3346,1147.2465
2006-09-06,1283.9094,1303.2546,1298.5883,1149.4034
2006-09-07,1288.2674,1302.6963,1300.9400,1151.4763
2006-09-08,1292.8757,1302.2709,1303.1520,1153.6385
2006-09-11,1299.1428,1301.3699,1305.3809,1155.8688
2006-09-12,1304.6613,1300.6980,1307.5252,1158.1271
2006-09-13,1308.6642,1300.3296,1309.3693,1160.3375
2006-09-14,1313.3606,1299.5916,1311.2097,1162.4686
2006-09-15,1318.8420,1299.2977,1312.9196,1164.6506
2006-09-18,1325.0054,1299.3117,1314.6386,1166.9680
2006-09-19,1330.5900,1299.3705,1316.3229,1169.2884
2006-09-20,1336.2683,1299.3476,1318.0113,1171.6199
2006-09-21,1342.3525,1300.9167,1319.8307,1174.0168
2006-09-22,1348.3497,1302.2570,1321.3828,1176.4243
2006-09-25,1352.4777,1303.2850,1322.3759,1178.8629
2006-09-26,1354.8723,1303.9128,1322.8576,1181.2058
2006-09-27,1357.4444,1305.4514,1323.3039,1183.6034
2006-09-28,1361.3445,1307.4903,1324.1810,1186.1878
2006-09-29,1366.9908,1309.4961,1324.8591,1188.8921
2006-10-09,1373.2592,1311.9973,1325.3006,1191.7459
2006-10-10,1379.3793,1314.2051,1326.0718,1194.5464
2006-10-11,1384.9723,1316.5669,1326.9162,1197.3170
2006-10-12,1389.7282,1318.7218,1327.5100,1199.8820
2006-10-13,1393.9703,1321.1243,1327.7877,1202.4445
2006-10-16,1396.7374,1323.9679,1328.0599,1204.8993
2006-10-17,1399.7159,1327.1449,1328.9272,1207.3367
2006-10-18,1404.1383,1330.8998,1329.8406,1209.8640
2006-10-19,1408.8283,1334.9255,1330.9739,1212.3842
2006-10-20,1412.8120,1339.4806,1331.9132,1214.9170
2006-10-23,1414.0818,1343.5359,1332.1937,1217.2628
2006-10-24,1416.4644,1347.6576,1332.5614,1219.7553
2006-10-25,1419.8814,1352.3004,1333.3495,1222.3247
2006-10-26,1422.4379,1356.4448,1333.8005,1224.8291
2006-10-27,1423.5733,1359.9770,1334.3050,1227.1861
2006-10-30,1424.7605,1364.0031,1334.7713,1229.5621
2006-10-31,1427.5827,1367.7661,1335.6542,1231.9479
2006-11-01,1431.0026,1371.5173,1337.3811,1234.3610
2006-11-02,1432.6852,1375.4631,1339.0432,1236.8159
2006-11-03,1433.7914,1379.5437,1341.0178,1239.1946
2006-11-06,1433.0984,1383.4609,1342.8266,1241.4239
2006-11-07,1432.3515,1386.9626,1344.5802,1243.6216
2006-11-08,1431.7712,1390.4206,1346.4891,1245.8048
2006-11-09,1433.1234,1393.9190,1348.4286,1248.0207
2006-11-10,1433.6572,1396.9935,1349.7343,1250.1511
2006-11-13,1434.2373,1398.9392,1350.6429,1252.1514
2006-11-14,1435.3692,1401.1145,1351.7257,1254.2867
2006-11-15,1437.3306,1403.9148,1353.2491,1256.6717
2006-11-16,1439.4479,1406.8035,1354.9133,1259.0879
2006-11-17,1441.8239,1410.1603,1356.5873,1261.4568
2006-11-20,1446.4315,1413.2896,1358.1488,1263.8661
2006-11-21,1450.7950,1416.8695,1359.9273,1266.4067
2006-11-22,1455.1889,1420.8122,1362.0334,1269.0867
2006-11-23,1459.8259,1425.0682,1363.8822,1271.7395
2006-11-24,1466.9878,1429.6218,1365.9463,1274.4017
2006-11-27,1475.8124,1434.6709,1368.0204,1277.1071
2006-11-28,1484.0994,1439.5413,1370.1197,1279.8115
2006-11-29,1494.0104,1445.6558,1372.9927,1282.7919
2006-11-30,1506.2341,1452.6125,1376.1020,1286.0493
2006-12-01,1520.0325,1460.0199,1379.6588,1289.4146
2006-12-04,1535.4625,1467.6437,1383.4777,1292.8932
2006-12-05,1551.6021,1475.3674,1387.3690,1296.3888
2006-12-06,1566.5853,1482.5475,1390.9475,1299.7706
2006-12-07,1579.5398,1488.7939,1394.8553,1303.0773
2006-12-08,1590.9237,1494.0230,1398.1400,1306.1312
2006-12-11,1606.9884,1500.7435,1402.0142,1309.5557
2006-12-12,1622.3223,1508.0945,1406.0036,1312.9559
2006-12-13,1636.3846,1515.4909,1410.4711,1316.4192
2006-12-14,1653.1093,1523.5094,1415.4998,1320.1922
2006-12-15,1672.2694,1532.2718,1420.8839,1324.1837
2006-12-18,1694.7348,1541.8798,1426.9386,1328.6460
2006-12-19,1715.2834,1551.2311,1432.7181,1333.0040
2006-12-20,1735.8986,1561.1827,1438.8748,1337.4504
2006-12-21,1754.5756,1571.0071,1444.8644,1341.8682
2006-12-22,1770.8859,1580.3881,1450.7562,1346.1468
2006-12-25,1787.4064,1590.9385,1457.4532,1350.6146
2006-12-26,1803.7286,1601.1464,1464.1457,1355.1389
