Date,Open,High,Low,Close
2006-03-20,1058.9147,1072.7752,1053.9018,1072.5168
2006-03-21,1072.8165,1082.2222,1071.0491,1075.7209
2006-03-22,1076.1137,1083.1421,1071.5349,1082.8630
2006-03-23,1082.5323,1084.5788,1077.8605,1083.7623
2006-03-24,1084.3618,1087.0904,1076.2067,1077.6227
2006-03-27,1077.6537,1086.0052,1071.9173,1086.0052
2006-03-28,1085.3437,1092.0103,1083.8656,1091.4522
2006-03-29,1094.3049,1110.1189,1093.2093,1101.0749
2006-03-30,1101.6434,1103.8656,1090.5840,1091.0904
2006-03-31,1089.2506,1097.1266,1085.4987,1096.7339
2006-04-03,1097.6331,1115.6279,1097.6331,1115.5762
2006-04-04,1117.1680,1125.9638,1112.3514,1125.9638
2006-04-05,1127.8346,1137.5297,1126.1499,1136.9199
2006-04-06,1139.5762,1146.9561,1134.1809,1140.2997
2006-04-07,1139.9897,1142.2222,1128.5685,1140.2067
2006-04-10,1141.4160,1155.6382,1137.6641,1155.4625
2006-04-11,1157.7881,1163.9173,1149.3643,1161.0439
2006-04-12,1161.5297,1161.5297,1153.6434,1154.5943
2006-04-13,1154.3566,1160.0930,1130.2429,1130.6770
2006-04-14,1128.3618,1156.2481,1128.3411,1156.1860
2006-04-17,1157.8191,1167.0801,1151.9690,1162.1809
2006-04-18,1165.3850,1173.5917,1156.8682,1169.2817
2006-04-19,1173.7571,1178.7183,1162.9974,1176.4755
2006-04-20,1177.9225,1180.9199,1164.9509,1172.4858
2006-04-21,1171.2765,1191.6176,1165.5297,1187.7623
2006-04-24,1195.7726,1199.5659,1173.9018,1181.0853
2006-04-25,1177.7778,1188.1550,1160.8269,1180.2894
2006-04-26,1181.2920,1201.0543,1180.4341,1194.5530
2006-04-27,1196.2584,1198.8630,1183.7313,1194.0775
2006-04-28,1182.0052,1213.3127,1171.2558,1211.7313
2006-05-08,1219.2041,1259.8036,1219.2041,1259.3798
2006-05-09,1267.5142,1294.8424,1263.7519,1293.6537
2006-05-10,1300.2377,1316.4651,1285.2403,1308.4548
2006-05-11,1309.7881,1338.3669,1296.4858,1297.1990
2006-05-12,1297.3953,1339.9276,1294.7597,1339.8036
2006-05-15,1356.2171,1397.8398,1345.5297,1397.5814
2006-05-16,1414.0879,1434.0052,1366.5530,1375.8450
2006-05-17,1376.4238,1401.6848,1350.7700,1380.3824
2006-05-18,1367.0801,1385.5504,1344.8165,1375.9173
