Date,Open,High,Low,Close,Volume
2022-07-14,5672.2166,5805.0774,5588.9815,5717.1447,
2022-07-15,5688.4881,5805.5308,5592.2809,5618.0791,
2022-07-18,5642.4501,5755.7010,5533.1878,5684.8922,
2022-07-19,5688.8701,5731.4631,5563.3921,5620.3067,
2022-07-20,5651.9905,5709.4018,5582.5711,5630.2860,
2022-07-21,5608.8821,5682.3326,5496.0253,5537.1746,
2022-07-22,5563.1104,5647.4217,5480.2001,5558.3295,
2022-07-25,5552.8765,5612.6182,5460.1269,5508.8751,
2022-07-26,5510.4556,5629.2153,5473.2952,5580.1910,
2022-07-27,5570.9133,5630.0544,5493.4166,5567.9836,
2022-07-28,5596.7372,5663.0903,5503.5201,5562.9522,
2022-07-29,5568.4066,5636.1535,5445.2390,5483.2438,
2022-08-01,5458.9831,5579.3207,5374.4383,5536.0494,
2022-08-02,5463.2474,5535.1117,5345.1262,5425.2593,
2022-08-03,5449.5494,5559.8471,5323.5440,5383.5693,
2022-08-04,5414.8912,5485.3934,5324.2401,5412.8797,
2022-08-05,5417.6870,5513.7521,5338.7353,5457.5197,
2022-08-08,5431.4703,5542.0706,5375.0780,5482.7575,
2022-08-09,5482.0563,5619.5110,5429.8835,5546.2836,
2022-08-10,5540.1608,5614.3821,5454.2514,5519.0974,
2022-08-11,5543.6358,5637.2821,5462.8190,5597.6461,
2022-08-12,5591.8939,5674.6451,5529.6045,5586.1447,
2022-08-15,5575.8239,5730.9157,5531.4503,5653.6401,
2022-08-16,5651.7927,5753.7704,5591.4849,5651.4595,
2022-08-17,5653.5732,5742.8836,5567.2489,5664.6048,
2022-08-18,5652.1067,5733.5935,5571.8107,5624.0710,
2022-08-19,5622.7960,5698.2340,5488.6586,5556.4003,
2022-08-22,5544.8096,5687.4576,5499.6950,5639.9466,
2022-08-23,5632.4403,5739.8188,5571.5647,5672.2902,
2022-08-24,5701.9157,5760.9903,5534.1559,5560.7278,
2022-08-25,5572.1433,5677.1698,5459.9576,5589.3024,
2022-08-26,5596.6288,5655.9705,5485.1148,5533.4671,
