Date,MA20,MA50,MA100,MA200
2006-11-06,1495.4713,1434.1280,1405.2125,1282.7796
2006-11-07,1499.5463,1438.8996,1407.4639,1285.6017
2006-11-08,1502.7638,1443.2922,1409.6788,1288.3041
2006-11-09,1507.8393,1448.0945,1412.1524,1291.1287
2006-11-10,1511.6212,1452.4070,1414.0753,1293.8707
2006-11-13,1514.5804,1455.5055,1415.5316,1296.4137
2006-11-14,1518.6801,1458.8879,1417.1394,1299.0750
2006-11-15,1523.7018,1463.0241,1419.2193,1302.0379
2006-11-16,1528.5550,1467.0468,1421.3045,1304.9785
2006-11-17,1534.8548,1472.0903,1423.6056,1307.9680
2006-11-20,1544.3866,1477.3807,1425.9803,1311.0788
2006-11-21,1553.2858,1482.9945,1428.5472,1314.2773
2006-11-22,1562.4434,1488.7343,1431.2463,1317.5221
2006-11-23,1571.6842,1495.0708,1433.7248,1320.8080
2006-11-24,1581.8925,1501.3639,1436.2325,1324.0482
2006-11-27,1592.5158,1507.8350,1438.6249,1327.2449
2006-11-28,1601.7943,1513.9616,1441.0332,1330.4184
2006-11-29,1611.4961,1520.7574,1443.8666,1333.6952
2006-11-30,1623.6253,1528.5317,1446.9227,1337.2857
2006-12-01,1636.0765,1536.1162,1450.2177,1340.8872
2006-12-04,1650.1773,1544.4920,1454.0277,1344.7587
2006-12-05,1664.5509,1553.0898,1457.9104,1348.6641
2006-12-06,1679.0853,1561.3782,1461.6335,1352.4767
2006-12-07,1692.0568,1569.4059,1466.0740,1356.3816
2006-12-08,1702.7814,1576.3667,1469.7376,1359.9537
2006-12-11,1719.0160,1584.9976,1474.0546,1363.9242
2006-12-12,1734.9855,1594.1995,1478.4925,1367.8724
2006-12-13,1748.8925,1603.1450,1483.3217,1371.8309
2006-12-14,1764.5437,1612.4296,1488.3961,1375.9382
2006-12-15,1780.3349,1622.0289,1493.6840,1380.1666
2006-12-18,1797.0248,1631.9522,1499.4514,1384.6537
2006-12-19,1813.0036,1641.9613,1505.1079,1389.1418
2006-12-20,1829.1545,1652.3105,1510.9503,1393.6892
2006-12-21,1843.3189,1662.2844,1516.6706,1398.1870
2006-12-22,1856.7070,1671.8919,1522.3993,1402.6002
2006-12-25,1871.5545,1682.6532,1529.0636,1407.2526
2006-12-26,1886.7602,1693.4809,1535.8458,1412.0240
2006-12-27,1903.0775,1704.7531,1543.1614,1417.0556
2006-12-28,1916.8021,1715.9272,1550.4812,1422.0974
2006-12-29,1932.9173,1728.3483,1558.7411,1427.4315
2007-01-04,1947.7158,1741.9580,1567.4542,1432.8435
2007-01-05,1962.1163,1755.0398,1575.9347,1438.2937
2007-01-08,1980.3152,1769.1944,1585.0330,1443.9919
2007-01-09,2002.2470,1784.5741,1594.6311,1450.0512
2007-01-10,2030.3809,1801.4613,1604.7636,1456.4178
2007-01-11,2053.2083,1817.6967,1614.9539,1462.5882
2007-01-12,2072.3793,1832.3589,1624.3378,1468.4435
2007-01-15,2097.3654,1849.0603,1634.7127,1474.8500
2007-01-16,2124.1214,1867.1318,1645.8986,1481.5959
2007-01-17,2146.9271,1884.0959,1656.6589,1488.1403
2007-01-18,2167.6501,1900.8238,1667.4759,1494.6849
2007-01-19,2192.1798,1919.0148,1678.9572,1501.6105
2007-01-22,2220.8496,1939.5448,1691.4185,1508.9802
2007-01-23,2251.8129,1959.8739,1703.9842,1516.4866
2007-01-24,2284.9287,1981.2149,1716.8110,1524.1111
2007-01-25,2311.4780,2001.4123,1728.4589,1531.2094
2007-01-26,2341.1773,2022.4798,1740.6838,1538.5662
2007-01-29,2371.8770,2044.0232,1753.5236,1546.1990
2007-01-30,2401.4351,2065.0793,1766.0630,1553.6855
2007-01-31,2419.2279,2082.0976,1777.0940,1560.3118
2007-02-01,2436.1829,2098.6766,1788.0286,1566.9127
2007-02-02,2447.8171,2112.8523,1797.9234,1572.9834
2007-02-05,2455.0646,2126.2429,1807.4886,1578.9510
2007-02-06,2461.0568,2140.3231,1817.6970,1585.2668
2007-02-07,2466.9390,2155.4799,1828.4219,1591.7329
2007-02-08,2476.1881,2171.1657,1839.5004,1598.3798
2007-02-09,2487.7385,2186.7365,1850.3490,1604.9223
2007-02-12,2497.9736,2203.6513,1862.2043,1611.8843
2007-02-13,2506.6951,2220.3597,1874.4457,1619.0588
2007-02-14,2521.1354,2238.1195,1887.1178,1626.4964
2007-02-15,2539.3023,2256.4738,1900.4829,1634.3824
2007-02-16,2553.8062,2274.7169,1913.9034,1642.3142
2007-02-26,2564.9881,2293.9059,1927.6421,1650.3346
2007-02-27,2562.3711,2307.9996,1938.7027,1657.0644
2007-02-28,2562.7917,2325.2190,1950.7929,1664.1560
2007-03-01,2563.8620,2339.3507,1962.1742,1670.6423
2007-03-02,2563.6455,2353.9438,1974.0716,1677.1390
2007-03-05,2558.4098,2367.8301,1985.4875,1683.3906
2007-03-06,2556.7773,2381.9727,1997.2011,1689.9294
2007-03-07,2567.3251,2396.8936,2009.4613,1696.6125
2007-03-08,2579.3385,2411.6021,2021.7772,1703.2040
2007-03-09,2595.5344,2425.8646,2033.9130,1709.8204
2007-03-12,2613.3313,2439.9136,2046.1120,1716.4387
2007-03-13,2630.0822,2455.0284,2058.6564,1723.2034
2007-03-14,2641.8429,2469.5343,2070.7131,1729.5665
2007-03-15,2653.9850,2484.1379,2083.3956,1736.1395
2007-03-16,2664.6817,2497.9051,2095.6930,1742.7885
2007-03-19,2673.6749,2511.8902,2108.3217,1749.7713
2007-03-20,2681.4341,2526.2125,2121.0699,1756.8259
2007-03-21,2687.3385,2539.8880,2134.1181,1763.9142
2007-03-22,2689.5447,2553.2054,2147.5817,1770.8653
2007-03-23,2691.5876,2566.5054,2160.7726,1777.7775
2007-03-26,2694.4997,2579.5797,2174.3871,1785.0053
2007-03-27,2711.3747,2591.6506,2188.1124,1792.1429
2007-03-28,2724.4537,2602.8482,2202.1547,1799.4170
2007-03-29,2740.4625,2614.2524,2215.9746,1806.5496
2007-03-30,2754.5736,2626.8215,2229.5902,1813.6950
2007-04-02,2773.9276,2638.4550,2243.7576,1821.6013
2007-04-03,2792.9370,2649.4989,2258.3153,1829.6744
2007-04-04,2809.5974,2661.9618,2273.0288,1838.0343
2007-04-05,2826.0016,2674.9426,2287.8832,1846.5479
2007-04-06,2844.6382,2686.8480,2302.9314,1855.1976
2007-04-09,2866.4470,2698.1526,2318.8487,1864.2637
2007-04-10,2889.2584,2710.0066,2334.9403,1873.5463
2007-04-11,2916.3364,2722.0974,2351.6561,1882.8657
2007-04-12,2943.7726,2737.0557,2369.2340,1892.3828
2007-04-13,2972.9716,2750.6228,2386.5513,1901.8454
2007-04-16,3003.8031,2764.6607,2404.3419,1911.7806
2007-04-17,3035.3705,2779.7867,2422.4330,1921.8687
2007-04-18,3066.4765,2798.7874,2440.4425,1932.0240
2007-04-19,3089.1628,2814.3973,2456.5370,1941.2586
2007-04-20,3118.7757,2834.8889,2473.8706,1951.2089
2007-04-23,3153.2610,2858.8583,2492.5506,1961.8984
2007-04-24,3187.4305,2882.2001,2511.2616,1972.4932
2007-04-25,3221.0548,2904.4945,2529.9872,1983.1098
2007-04-26,3257.7612,2926.8817,2549.0237,1993.8243
2007-04-27,3293.3550,2949.0681,2567.9023,2004.4678
2007-04-30,3329.9752,2971.2556,2587.4534,2015.6600
2007-05-08,3371.2109,2995.3052,2607.8325,2027.3776
2007-05-09,3412.0098,3018.3115,2628.2155,2039.2166
2007-05-10,3452.2920,3040.1385,2648.3061,2051.1669
2007-05-11,3490.0491,3061.3451,2668.0310,2062.9707
2007-05-14,3526.0310,3082.5697,2688.2378,2074.9357
2007-05-15,3553.0630,3106.2834,2707.1415,2086.6078
2007-05-16,3582.9840,3130.1743,2727.6966,2098.7171
2007-05-17,3614.1039,3157.1525,2748.2516,2111.1531
2007-05-18,3645.4941,3183.3623,2768.6530,2123.5728
2007-05-21,3675.2326,3211.3898,2789.6099,2136.4658
2007-05-22,3705.5628,3239.3009,2810.6368,2149.5164
2007-05-23,3738.3509,3267.1977,2832.0457,2162.8649
2007-05-24,3778.1158,3293.9082,2852.7551,2176.1033
2007-05-25,3814.0832,3322.3084,2874.0865,2189.5972
2007-05-28,3847.2233,3352.4151,2896.1643,2203.5573
2007-05-29,3884.5922,3384.0041,2919.5163,2218.0934
2007-05-30,3907.2372,3410.6522,2940.0932,2231.2463
2007-05-31,3929.6853,3437.1618,2960.6498,2244.8567
2007-06-01,3946.9168,3461.9622,2979.9336,2257.8897
2007-06-04,3944.4734,3479.5750,2995.7326,2269.4470
2007-06-05,3941.8171,3499.4584,3012.8355,2281.6583
2007-06-06,3940.5922,3519.6130,3029.7505,2294.2458
