reference_date,ticker,name,csi300_member,quarter_net_income,four_quarter_net_income,financial_eligible,momentum_return,volatility,RAM,z_score,momentum_score,rank,selected,csi300_weight,raw_weight,final_weight,fin_latest_period,fin_latest_available,fin_field,fin_reason,mom_start_date,mom_end_date,traded_days,momentum_eligible,mom_reason,eligible,fmc,weight_cap,buffer_retained
2020-02-28,601229,上海银行,True,5656429000,2.0156229e+10,True,0.02918929434,0.01208762271,2.414808523,-0.4947600748,0.6690036862,187,False,0.004089311561,,0,2019-09-30,2019-10-26,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,1.141839454e+11,,False
2020-02-28,601238,广汽集团,True,1446206875,7472840876,True,0.0502901354,0.02104877056,2.389219611,-0.4960682223,0.6684187159,188,False,0.002364222989,,0,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,6.60150993e+10,,False
2020-02-28,002146,荣盛发展,True,1864690248,8539346504,True,0.04257767549,0.02031948263,2.095411397,-0.5110881838,0.6617747466,189,False,0.001193621612,,0,2019-09-30,2019-10-25,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,3.332894129e+10,,False
2020-02-28,601828,美凯龙,True,1189948706,4365223222,True,0.04007123776,0.01936466482,2.069296739,-0.5124232083,0.6611905943,190,False,0.0001459974326,,0,2019-09-30,2019-10-30,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,4076618429,,False
2020-02-28,600085,同仁堂,True,309436071.5,1761995988,True,0.02780909433,0.0140128914,1.984536491,-0.5167562923,0.6593016987,191,False,0.001283917545,,0,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,3.585023265e+10,,False
2020-02-28,600674,川投能源,True,1491540777,3466654782,True,0.02244668911,0.01221630524,1.837436825,-0.5242762703,0.6560490506,192,False,0.001442547581,,0,2019-09-30,2019-10-26,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,4.027958539e+10,,False
2020-02-28,600332,广州药业,True,702307767.9,3404520199,True,0.0387740799,0.02161105662,1.794177887,-0.5264877388,0.6550986127,193,False,0.001715413895,,0,2019-09-30,2019-10-29,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,4.789870463e+10,,False
2020-02-28,601877,正泰电器,True,1126292267,3866991981,True,0.02736030829,0.01813168931,1.508977339,-0.5410676622,0.6489007748,194,False,0.002076630455,,0,2019-09-30,2019-10-25,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,5.798478667e+10,,False
2020-02-28,600219,南山铝业,True,544480098.3,1405922529,True,0.02283105023,0.01622940728,1.406770428,-0.5462926484,0.6467081125,195,False,0.0007430972781,,0,2019-09-30,2019-10-29,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,2.07491598e+10,,False
2020-02-28,601818,光大银行,True,1.0982e+10,3.7389e+10,True,0.02005082454,0.01474888776,1.359480448,-0.5487101904,0.6456985989,196,False,0.005389339807,,0,2019-09-30,2019-10-31,CONTINUED_NETPROFIT,pass,2019-01-28,2020-01-23,241,True,ok,True,1.504840297e+11,,False
